state,x,y
Andhra Pradesh,-71,-137
Arunachal Pradesh ,199,130
Assam,187,93
Bihar,62,82
Chhattisgarh,-18,-2
Goa,-165,-119
Gujarat,-193,34
Haryana,-106,149
Himachal Pradesh,-73,202
Jammu and Kashmir ,-91,250
Jharkhand,53,33
Karnataka,-130,-135
Kerala,-124,-219
Madhya Pradesh,-87,38
Maharashtra,-149,-43
Manipur,213,89
Meghalaya,157,76
Mizoram,185,32
Nagaland,213,89
Odisha,54,-10
Punjab,-127,171
Rajasthan,-141,91
Sikkim,103,110
Tamil Nadu,-84,-199
Telangana,-72,-72
Tripura,162,42
Uttar Pradesh,-19,93
Uttarakhand,-53,159
West Bengal,101,26
